Time (s),Current (nA)
17:05:58.749,0.0209
17:05:58.758,-0.0066
17:05:58.759,0.0117
17:05:58.764,-0.0063
17:05:58.765,0.0229
17:05:58.767,0.0288
17:05:58.769,0.004
17:05:58.771,0.0047
17:05:58.773,-0.0025
17:05:58.775,0.013
17:05:58.777,0.0106
17:05:58.779,0.0276
17:05:58.782,0.006
17:05:58.784,-0.0136
17:05:58.784,0.0131
17:05:58.786,0.02
17:05:58.799,0.0356
17:05:58.807,0.0014
17:05:58.810,-0.0072
17:05:58.813,0.0086
17:05:58.815,0.0123
17:05:58.818,0.0432
17:05:58.820,0.0047
17:05:58.822,0.0303
17:05:58.824,0.01
17:05:58.826,0.0139
17:05:58.828,0.0002
17:05:58.830,0.0031
17:05:58.832,0.0033
17:05:58.832,0.0321
17:05:58.834,0.0028
17:05:58.836,0.0052
17:05:58.838,-0.003
17:05:58.847,-0.0346
17:05:58.847,0.0057
17:05:58.860,0.0064
17:05:58.865,0.0112
17:05:58.868,-0.012
17:05:58.870,0.0179
17:05:58.870,0.0408
17:05:58.877,0.0368
17:05:58.880,0.0047
17:05:58.880,0.0008
17:05:58.880,0.0326
17:05:58.884,0.0168
17:05:58.886,0.004
17:05:58.889,0.0153
17:05:58.891,-0.0103
17:05:58.893,0.017
17:05:58.906,0.0297
17:05:58.908,0.011
17:05:58.916,-0.025
17:05:58.919,-0.009
17:05:58.922,0.0244
17:05:58.924,0.0016
17:05:58.926,0.018
17:05:58.927,0.0257
17:05:58.929,0.0104
17:05:58.931,-0.0071
17:05:58.933,0.0078
17:05:58.933,0.0035
17:05:58.937,0.0272
17:05:58.940,0.0174
17:05:58.941,-0.0229
17:05:58.943,-0.0096
17:05:58.943,0.0183
17:05:58.960,0.0478
17:05:58.960,-0.0141
17:05:58.969,0.0065
17:05:58.972,-0.0071
17:05:58.973,0.0189
17:05:58.973,-0.0054
17:05:58.973,0.0096
17:05:58.980,0.0091
17:05:58.983,0.0025
17:05:58.986,-0.0057
17:05:58.987,-0.0179
17:05:58.988,-0.0031
17:05:58.990,0.0103
17:05:58.990,-0.0135
17:05:58.994,0.0274
17:05:59.003,-0.0004
17:05:59.003,0.0325
17:05:59.003,0.0149
17:05:59.021,0.0003
17:05:59.024,-0.0139
17:05:59.024,-0.0005
17:05:59.024,-0.0234
17:05:59.028,0.0085
17:05:59.032,0.0217
17:05:59.033,0.0191
17:05:59.035,0.0191
17:05:59.035,0.0005
17:05:59.038,0.0177
17:05:59.038,0.0194
17:05:59.041,0.0146
17:05:59.051,0.0308
17:05:59.051,0.0047
17:05:59.063,-0.0075
17:05:59.067,0.0136
17:05:59.067,-0.0021
17:05:59.067,0.0058
17:05:59.074,0.0166
17:05:59.076,0.0035
17:05:59.078,0.0411
17:05:59.080,-0.0036
17:05:59.083,0.0284
17:05:59.085,0.012
17:05:59.085,0.0261
17:05:59.087,0.0188
17:05:59.089,0.0005
17:05:59.091,-0.0343
17:05:59.099,0.0304
17:05:59.112,0.0212
17:05:59.116,0.0147
17:05:59.118,0.0193
17:05:59.121,0.0011
17:05:59.124,0.0368
17:05:59.127,0.0155
17:05:59.129,0.0111
17:05:59.131,0.0128
17:05:59.133,0.0179
17:05:59.136,0.0033
17:05:59.139,-0.0161
17:05:59.141,0.0053
17:05:59.141,0.0347
17:05:59.143,-0.0061
17:05:59.146,0.0203
17:05:59.146,0.0054
17:05:59.151,0.0217
17:05:59.151,0.0249
17:05:59.153,0.0097
17:05:59.153,0.0013
17:05:59.157,-0.0081
17:05:59.164,0.0317
17:05:59.167,-0.004
17:05:59.178,0.0234
17:05:59.182,0.0033
17:05:59.186,0.0263
17:05:59.189,0.0252
17:05:59.191,0.0117
17:05:59.193,0.0524
17:05:59.193,-0.0017
17:05:59.198,-0.0068
17:05:59.200,-0.0096
17:05:59.203,-0.0117
17:05:59.203,0.0164
17:05:59.205,0.0195
17:05:59.206,0.0001
17:05:59.208,0.0148
17:05:59.216,-0.0056
17:05:59.226,0.0222
17:05:59.232,0.0066
17:05:59.235,0.0046
17:05:59.237,-0.0154
17:05:59.240,0.0174
17:05:59.242,0.0046
17:05:59.245,0.0117
17:05:59.245,0.0097
17:05:59.248,0.0313
17:05:59.250,0.022
17:05:59.252,0.0246
17:05:59.254,0.0064
17:05:59.254,-0.0051
17:05:59.257,0.0235
17:05:59.265,0.008
17:05:59.276,0.0029
17:05:59.281,-0.0045
17:05:59.283,0.0274
17:05:59.285,0.025
17:05:59.289,0.039
17:05:59.290,0.014
17:05:59.290,0.0249
17:05:59.294,0.0035
17:05:59.296,0.0577
17:05:59.299,0.0462
17:05:59.299,0.0248
17:05:59.302,0.0099
17:05:59.312,-0.0061
17:05:59.320,0.0323
17:05:59.320,0.044
17:05:59.320,0.0815
17:05:59.331,0.073
17:05:59.335,0.1414
17:05:59.338,0.144
17:05:59.340,0.1849
17:05:59.340,0.1551
