Time (s),Current (nA)
15:50:37.921,0.039
15:50:37.921,0.034
15:50:37.921,0.03
15:50:37.921,0.021
15:50:37.937,0.021
15:50:37.937,0.005
15:50:37.952,0.005
15:50:37.952,-0.002
15:50:37.968,-0.002
15:50:38.015,0.007
15:50:38.015,0.009
15:50:38.015,-0.003
15:50:38.015,-0.02
15:50:38.030,-0.02
15:50:38.030,-0.027
15:50:38.047,-0.027
15:50:38.047,-0.027
15:50:38.063,-0.022
15:50:38.094,-0.022
15:50:38.141,-0.022
15:50:38.157,-0.023
15:50:38.157,-0.027
15:50:38.157,-0.026
15:50:38.157,-0.028
15:50:38.173,-0.028
15:50:38.173,-0.024
15:50:38.188,-0.024
15:50:38.188,-0.019
15:50:38.204,-0.019
15:50:38.252,-0.017
15:50:38.252,-0.013
15:50:38.252,-0.014
15:50:38.252,-0.015
15:50:38.267,-0.015
15:50:38.267,-0.016
15:50:38.283,-0.016
15:50:38.283,-0.018
15:50:38.299,-0.018
15:50:38.299,-0.022
15:50:38.361,-0.029
15:50:38.361,-0.036
15:50:38.361,-0.034
15:50:38.377,-0.034
15:50:38.378,-0.022
15:50:38.393,-0.022
15:50:38.395,-0.025
15:50:38.409,-0.025
15:50:38.411,-0.036
15:50:38.425,-0.036
15:50:38.457,-0.043
15:50:38.473,-0.042
15:50:38.473,-0.045
15:50:38.473,-0.039
15:50:38.488,-0.039
15:50:38.488,-0.034
15:50:38.504,-0.034
15:50:38.506,-0.032
15:50:38.521,-0.032
15:50:38.524,-0.031
15:50:38.583,-0.028
15:50:38.583,-0.021
15:50:38.583,-0.018
15:50:38.588,-0.015
15:50:38.615,-0.012
15:50:38.631,-0.012
15:50:38.632,-0.01
15:50:38.648,-0.01
15:50:38.654,-0.007
15:50:38.662,-0.006
15:50:38.728,-0.004
15:50:38.731,-0.004
15:50:38.733,-0.008
15:50:38.734,-0.004
15:50:38.741,0.005
15:50:38.756,0.011
15:50:38.772,0.011
15:50:38.772,0.01
15:50:38.788,0.01
15:50:38.788,0.018
15:50:38.835,0.026
15:50:38.851,0.035
15:50:38.852,0.038
15:50:38.866,0.044
15:50:38.882,0.044
15:50:38.882,0.045
15:50:38.898,0.045
15:50:38.898,0.046
15:50:38.914,0.046
15:50:38.914,0.048
15:50:38.961,0.046
15:50:38.961,0.049
15:50:38.976,0.048
15:50:38.977,0.048
15:50:38.992,0.048
15:50:38.994,0.046
15:50:39.008,0.046
15:50:39.010,0.048
15:50:39.024,0.048
15:50:39.024,0.05
15:50:39.086,0.054
15:50:39.086,0.059
15:50:39.086,0.062
15:50:39.086,0.068
15:50:39.118,0.068
15:50:39.119,0.082
15:50:39.133,0.082
15:50:39.133,0.097
15:50:39.149,0.097
15:50:39.150,0.094
15:50:39.212,0.087
15:50:39.228,0.094
15:50:39.228,0.107
15:50:39.228,0.121
15:50:39.228,0.124
15:50:39.243,0.124
15:50:39.245,0.125
15:50:39.259,0.125
15:50:39.259,0.119
15:50:39.275,0.119
15:50:39.323,0.119
15:50:39.323,0.124
15:50:39.323,0.123
15:50:39.323,0.125
15:50:39.338,0.125
15:50:39.338,0.122
15:50:39.369,0.122
15:50:39.370,0.116
15:50:39.385,0.116
15:50:39.385,0.112
15:50:39.464,0.111
15:50:39.469,0.109
15:50:39.470,0.112
15:50:39.471,0.114
15:50:39.471,0.114
15:50:39.480,0.118
15:50:39.495,0.118
15:50:39.497,0.128
15:50:39.511,0.128
15:50:39.513,0.135
15:50:39.559,0.136
15:50:39.559,0.126
15:50:39.559,0.12
15:50:39.574,0.12
15:50:39.574,0.132
15:50:39.590,0.132
15:50:39.591,0.139
15:50:39.606,0.139
15:50:39.622,0.142
15:50:39.638,0.142
15:50:39.700,0.139
15:50:39.714,0.137
15:50:39.715,0.131
15:50:39.717,0.131
15:50:39.718,0.129
15:50:39.718,0.126
15:50:39.732,0.126
15:50:39.734,0.122
15:50:39.748,0.122
15:50:39.748,0.115
15:50:43.841,5.623
